team,nickname,city,state,enrollment,currentconference,formerconferences,firstplayed,joinedfbs,latitude,longitude
Liberty,Flames,Lynchburg,Virginia,95148,C-USA,"Big South, Independent",1973,2018,37.4137536,-79.14224639999999
Louisiana,Ragin' Cajuns,Lafayette,Louisiana,16225,Sun Belt,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West",1902,1973,30.2240897,-92.0198427
Louisiana–Monroe,Warhawks,Monroe,Louisiana,8565,Sun Belt,"Gulf States Conference, Southland, Independent",1951,1994,32.5093109,-92.1193012
Louisiana Tech,Bulldogs,Ruston,Louisiana,11037,C-USA,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West, WAC",1901,1989,32.5232053,-92.637927
Louisville,Cardinals,Louisville,Kentucky,22140,ACC,"KIAC, SIAA, KIAC, OVC, MVC, C-USA, Big East, American",1910,1962,38.2526647,-85.7584557
Louisiana State,Tigers,Baton Rouge,Louisiana,35912,SEC,"SIAA, SoCon",1893,,30.4514677,-91.1871466
Marshall,Thundering Herd,Huntington,West Virginia,11125,Sun Belt,"WVIAC, Buckeye Conference, OVC, MAC, SoCon, C-USA",1895,1997[n 2],38.4192496,-82.44515400000002
Maryland,Terrapins,College Park,Maryland,41272,Big Ten,"MIFA, SAIAA, SoCon, ACC",1888,,38.9896967,-76.93776
Memphis,Tigers,Memphis,Tennessee,21622,American,"Mississippi Valley Conference, SIAA, MVC, C-USA[n 6]",1912,1960,35.1495343,-90.0489801
Miami (FL),Hurricanes,Coral Gables[n 8],Florida,19096,ACC,"SIAA, Big East",1926,,25.7491968,-80.2635411
Miami (OH),RedHawks,Oxford,Ohio,19216,MAC,"OAC, Buckeye Conference",1888,1962,39.5069974,-84.74523099999999
Michigan,Wolverines,Ann Arbor,Michigan,50278,Big Ten,None[n 9],1879,,42.2808256,-83.7430378
Michigan State,Spartans,East Lansing,Michigan,49659,Big Ten,MIAA,1885,,42.7369792,-84.48386540000001
Middle Tennessee State,Blue Raiders,Murfreesboro,Tennessee,20857,C-USA,"VSAC, SIAA, OVC, Sun Belt",1911,1999,35.8456213,-86.39027
Minnesota,Golden Gophers,Minneapolis,Minnesota,52376,Big Ten,None[n 9],1882,,44.977753,-93.2650108
Mississippi State,Bulldogs,Starkville[n 10],Mississippi,23086,SEC,"SIAA, SoCon",1895,,33.4503998,-88.81838719999999
Missouri,Tigers,Columbia,Missouri,31412,SEC,"WIUFA, Big 8, Big 12",1890,,38.9517053,-92.3340724
Navy,Midshipmen,Annapolis,Maryland,4528,American[n 11],Independent,1879,,38.9784453,-76.4921829
North Carolina State,Wolfpack,Raleigh,North Carolina,36831,ACC,"SAIAA, SIAA, SoCon",1892,,35.7795897,-78.6381787
Nebraska,Cornhuskers,Lincoln,Nebraska,24431,Big Ten,"WIUFA, MVC, Big 8, Big 12",1890,,40.813616,-96.7025955
Nevada,Wolf Pack,Reno,Nevada,21034,Mountain West,"NCAC, Big Sky, Big West, WAC",1896,1992,39.529919,-119.8142691
New Mexico,Lobos,Albuquerque,New Mexico,21738,Mountain West,"BIAA, WAC",1892,,35.0843859,-106.650422
New Mexico State,Aggies,Las Cruces,New Mexico,13904,C-USA,"BIAA, MVC, Big West, Sun Belt, WAC, Independent",1893,,32.3199396,-106.7636538
North Carolina,Tar Heels,Chapel Hill,North Carolina,31733,ACC,"SAIAA, SIAA, SoCon",1888,,35.9131996,-79.0558445
North Texas,Mean Green,Denton,Texas,42454,American,"TIAA, Lone Star, Gulf Coast Conference, MVC, Southland, Big West, Sun Belt, C-USA",1913,1995,33.2148412,-97.1330683
Northern Illinois,Huskies,DeKalb,Illinois,16234,MAC,"IIAC, Big West",1899,1968,41.9295355,-88.74991279999999
Northwestern,Wildcats,Evanston,Illinois,22933,Big Ten,None[n 9],1876,,42.0450722,-87.68769689999999
Notre Dame,Fighting Irish,South Bend,Indiana,13139,Independent,ACC[n 12],1887,,41.6763545,-86.25198979999999
Ohio,Bobcats,Athens,Ohio,24429,MAC,"OAC, Buckeye Conference",1894,1962,39.3292396,-82.1012554
Ohio State,Buckeyes,Columbus,Ohio,61677,Big Ten,OAC,1889,,39.9611755,-82.99879419999999
Oklahoma,Sooners,Norman,Oklahoma,28042,Big 12[n 13],"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1895,,35.2225668,-97.4394777
Oklahoma State,Cowboys,Stillwater,Oklahoma,24660,Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1901,,36.1156071,-97.0583681
Old Dominion,Monarchs,Norfolk,Virginia,23494,Sun Belt,"CAA, C-USA",2009,2014,36.8507689,-76.28587259999999
Mississippi,Rebels,Oxford,Mississippi,21203,SEC,"SIAA, SoCon",1893,,34.3659868,-89.5188246
Oregon,Ducks,Eugene,Oregon,22257,Pac-12,"PCC, Independent",1894,,44.0520691,-123.0867536
Oregon State,Beavers,Corvallis,Oregon,33193,Pac-12,"PCC, Independent",1893,,44.5645659,-123.2620435
Penn State,Nittany Lions,University Park[n 15],Pennsylvania,47560,Big Ten,Independent,1881,,40.8147955,-77.86531260000001
Pittsburgh,Panthers,Pittsburgh[n 16],Pennsylvania,29238,ACC,Big East,1890,,40.44062479999999,-79.9958864
Purdue,Boilermakers,West Lafayette,Indiana,49639,Big Ten,IIAA,1887,,40.4258686,-86.90806549999999
Rice,Owls,Houston,Texas,8285,American,"TIAA, SWC, WAC, C-USA",1912,,29.7604267,-95.3698028
Rutgers,Scarlet Knights,Piscataway[n 17],New Jersey,50804,Big Ten,"Middle Atlantic, Big East, American",1869,,40.554887,-74.4642861
Sam Houston,Bearkats,Huntsville,Texas,21679,C-USA[n 18],"TIAA, Lone Star, Gulf Star, Southland, WAC",1912,2023,30.7235263,-95.5507771
San Diego State,Aztecs,San Diego,California,35732,Mountain West,"Southern California Junior College Conference, SCIAC, CCAA, Big West, WAC",1921,1969,32.715738,-117.1610838
San Jose State,Spartans,San Jose,California,37133,Mountain West,"California Coast Conference, NCAC, California Collegiate, Big West, WAC",1892,,37.33874,-121.8852525
Southern Methodist,Mustangs,University Park[n 19],Texas,12385,American,"TIAA, SWC, WAC, C-USA[n 6]",1915,,32.8550377,-96.797592
South Alabama,Jaguars,Mobile,Alabama,13992,Sun Belt,FCS Independent,2009,2012,30.6953657,-88.0398912
South Carolina,Gamecocks,Columbia,South Carolina,35471,SEC,"SIAA, SoCon, ACC",1892,,34.0007104,-81.0348144
South Florida,Bulls,Tampa[n 20],Florida,44322,American,"C-USA, Big East",1997,2001,27.986563,-82.436792
Southern Mississippi,Golden Eagles,Hattiesburg,Mississippi,14146,Sun Belt,"Gulf States Conference, SIAA. C-USA",1912,1963,31.3271189,-89.29033919999999
Stanford,Cardinal,Stanford[n 21],California,17680,Pac-12,PCC,1891,,37.42410599999999,-122.1660756
Syracuse,Orange,Syracuse,New York,21772,ACC,Big East,1889,,43.0481221,-76.14742439999999
Texas Christian,Horned Frogs,Fort Worth,Texas,11938,Big 12,"TIAA, SWC, WAC, C-USA, MW",1896,,32.7554883,-97.3307658
Temple,Owls,Philadelphia[n 22],Pennsylvania,35626,American,"Middle Atlantic, Big East, MAC, Big East",1894,,39.9827148,-75.1703894
Tennessee,Volunteers,Knoxville,Tennessee,31701,SEC,"SIAA, SoCon",1891,,35.9606384,-83.9207392
Texas,Longhorns,Austin,Texas,51991,Big 12[n 13],"SIAA, TIAA, SWC",1893,,30.267153,-97.7430608
Texas A&M,Aggies,College Station,Texas,72530,SEC,"SIAA, SWC, Big 12",1894,,30.627977,-96.3344068
Texas State,Bobcats,San Marcos,Texas,37864,Sun Belt,"TIAA, Lone Star, Gulf Star, Southland, WAC",1904,2012,29.8832749,-97.9413941
Texas Tech,Red Raiders,Lubbock,Texas,40542,Big 12,"BIAA, SWC",1925,,33.5845617,-101.8456417
Toledo,Rockets,Toledo,Ohio,17045,MAC,"Northwestern Ohio Intercollegiate Athletic Association, OAC",1917,1962,41.6528052,-83.5378674
Troy,Trojans,Troy,Alabama,14901,Sun Belt,"Alabama Intercollegiate Conference, SIAA, Alabama Collegiate Conference, Mid-South Athletic Conference, Gulf South, Southland",1909,2002,31.8087678,-85.969951
Tulane,Green Wave,New Orleans,Louisiana,13127,American,"SIAA, SoCon, SEC, C-USA",1893,,29.95106579999999,-90.0715323
Tulsa,Golden Hurricane,Tulsa,Oklahoma,3832,American,"Oklahoma Intercollegiate Conference, Big 4 Conference, MVC, WAC, C-USA",1895,,36.1539816,-95.992775
Alabama-Birmingham,Blazers,Birmingham,Alabama,22289,American,"FCS Independent, C-USA",1991,1999,33.5185892,-86.8103567
Central Florida,Knights,Orlando,Florida,70406,Big 12,"MAC, C-USA, American",1979,1996,28.5383832,-81.3789269
UCLA,Bruins,Los Angeles,California,47516,Pac-12[n 14],"SCIAC, PCC",1919,,34.0549076,-118.242643
Connecticut,Huskies,Storrs[n 23],Connecticut,32146,Independent,"Yankee, A-10, Big East, American",1896,2000,41.8084314,-72.24952309999999
Massachusetts,Minutemen,Amherst,Massachusetts,32045,Independent,"Yankee, A-10, CAA, MAC",1879,2012,42.3732216,-72.5198537
Nevada-Las Vegas,Rebels,Las Vegas[n 24],Nevada,30679,Mountain West,"Big West, WAC",1968,1978,36.1806927,-115.1167164
Southern California,Trojans,Los Angeles,California,49318,Pac-12[n 14],PCC,1888,,34.0549076,-118.242643
Texas-El Paso,Miners,El Paso,Texas,24003,C-USA,"BIAA, WAC",1914,,31.7618778,-106.4850217
Texas-San Antonio,Roadrunners,San Antonio,Texas,34734,American,"WAC, C-USA",2011,2012,29.4251905,-98.4945922
Utah,Utes,Salt Lake City,Utah,34464,Pac-12[n 3],"Colorado Football Association, RMAC, Mountain States, WAC, MW",1892,,40.7607793,-111.8910474
Utah State,Aggies,Logan,Utah,27426,Mountain West,"Colorado Football Association, RMAC, Mountain States, Big West, Independent, Sun Belt, WAC",1892,,41.7369803,-111.8338359
Vanderbilt,Commodores,Nashville,Tennessee,13796,SEC,"SIAA, SoCon",1890,,36.1626638,-86.7816016
Virginia,Cavaliers,Charlottesville,Virginia,26026,ACC,"SAIAA, SoCon",1888,,38.0293059,-78.47667810000002
Virginia Tech,Hokies,Blacksburg,Virginia,37279,ACC,"SAIAA, SIAA, SoCon, Big East",1892,,37.2295733,-80.4139393
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,8947,ACC,"Big Five Conference, SoCon",1888,,36.09985959999999,-80.244216
Washington,Huskies,Seattle,Washington,52439,Pac-12[n 14],PCC,1889,,47.6061389,-122.3328481
Washington State,Cougars,Pullman,Washington,29843,Pac-12,"PCC, Independent",1893,,46.7297771,-117.1817377
West Virginia,Mountaineers,Morgantown,West Virginia,25474,Big 12,"SoCon, WVIAC, Big East",1891,,39.629526,-79.95589679999999
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,16750,C-USA,"SIAA, KIAC, OVC, MVFC, Sun Belt",1913,2009,36.9685219,-86.4808043
Western Michigan,Broncos,Kalamazoo,Michigan,19038,MAC,MCC,1905,1962,42.2917069,-85.5872286
Wisconsin,Badgers,Madison,Wisconsin,47932,Big Ten,None[n 9],1889,,43.0721661,-89.4007501
Wyoming,Cowboys,Laramie,Wyoming,11479,Mountain West,"Colorado Football Association, RMAC, WAC",1893,,41.3113669,-105.5911007
